Project Name,Project Year,Project Price,Project Timeline,Project Team Size,Project Team On-site work from home arrangement (%),Project Geographic Scope,Project Status,Updated Project Status
Quantum Expansion,2020,1710840.66,11 months,8,29.5,Nationwide,Successful,Successful (but high risk)
Nova Analytics,2022,1709358.03,10 months,5,37.2,Municipality,Failed,Failed (high probability due to duration)
Horizon Upgrade,2016,520644.3,9 months,17,61.7,Nationwide,Successful,Successful (but high risk)
Alpha System,2019,482112.98,11 months,6,47.9,City,Failed,Failed (high probability due to duration)
Horizon Initiative,2020,1420567.14,12 months,4,35.2,Barrangay,Failed,Failed (high probability due to duration)
Delta Integration,2019,1462940.75,12 months,2,76.6,Municipality,Failed,Failed (high probability due to duration)
Nova Platform,2019,77589.32,12 months,1,54.3,Barrangay,Failed,Failed (high probability due to duration)
Beta Analytics,2024,604461.69,13 months,1,30.2,Nationwide,Failed,Failed (high probability due to duration)
Beta Optimization,2022,194460.23,3 months,5,16.8,Town,Failed,Failed
Horizon Optimization,2024,1212447.35,19 months,8,33.8,Region,Failed,Failed (high probability due to duration)
Quantum Analytics,2024,1922212.12,12 months,5,62.8,Barrangay,Failed,Failed (high probability due to duration)
Gamma System,2017,55217.66,15 months,1,28.5,Municipality,Successful,Successful (but high risk)
Beta Upgrade,2019,1586264.65,24 months,13,44,Town,Failed,Failed (high probability due to duration)
Orion Platform,2016,166294.18,12 months,5,45.1,Nationwide,Failed,Failed (high probability due to duration)
Apex Expansion,2023,1102964.05,12 months,7,68.8,Municipality,Failed,Failed (high probability due to duration)
Beta Upgrade,2025,1680119.3,16 months,20,75.7,Office,Failed,Failed (high probability due to duration)
Vertex Integration,2019,403903.84,50 months,11,47.6,Region,Failed,Failed (high probability due to duration)
Nova System,2017,693117.14,12 months,7,75.1,Office,Failed,Failed (high probability due to duration)
Beta Initiative,2019,680383.88,12 months,10,62.6,Nationwide,Failed,Failed (high probability due to duration)
Alpha Upgrade,2023,755469.75,3 months,1,26.3,Barrangay,Failed,Failed
Vertex Integration,2016,106295.41,10 months,5,54.1,Region,Failed,Failed (high probability due to duration)
Delta System,2022,1896768.45,7 months,5,50.7,Municipality,Failed,Failed (high probability due to duration)
Vertex Integration,2018,940733.62,9 months,18,69.7,Barrangay,Failed,Failed (high probability due to duration)
Orion Optimization,2020,1871784.37,3 months,5,77,Nationwide,Failed,Failed
Vertex Integration,2020,698257.91,20 months,6,79.6,Town,Failed,Failed (high probability due to duration)
Delta Optimization,2015,670443.84,15 months,3,49.6,Office,Failed,Failed (high probability due to duration)
Horizon Initiative,2016,1754671.23,19 months,10,67.8,Region,Failed,Failed (high probability due to duration)
Beta Integration,2019,710194.41,23 months,6,78.2,Region,Failed,Failed (high probability due to duration)
Vertex Analytics,2024,183420.46,20 months,11,44.7,Institution,Failed,Failed (high probability due to duration)
Vertex Platform,2019,1811676.92,20 months,6,44.5,Town,Failed,Failed (high probability due to duration)
Quantum Platform,2017,391385.24,15 months,4,49.8,Barrangay,Failed,Failed (high probability due to duration)
Vertex Expansion,2022,547887.08,17 months,20,53.7,Institution,Failed,Failed (high probability due to duration)
Nova Expansion,2025,1925956.69,17 months,13,89.9,Nationwide,Successful,Successful (but high risk)
Delta Optimization,2024,749970.36,12 months,7,32,Office,Successful,Successful (but high risk)
Orion Upgrade,2024,1613767.32,9 months,3,60.3,Office,Successful,Successful (but high risk)
Vertex Analytics,2024,761479.4,12 months,7,24.1,Barrangay,Failed,Failed (high probability due to duration)
Horizon Expansion,2017,551091.66,12 months,14,69.7,City,Failed,Failed (high probability due to duration)
Vertex System,2017,1520595.41,24 months,7,87.4,City,Failed,Failed (high probability due to duration)
Apex Analytics,2019,1096316,24 months,5,56.8,City,Successful,Successful (but high risk)
Delta Integration,2015,1258116.39,34 months,13,61.8,Nationwide,Failed,Failed (high probability due to duration)
Apex System,2017,138426.28,18 months,4,81,Barrangay,Failed,Failed (high probability due to duration)
Vertex Initiative,2025,1901292.5,20 months,3,80.8,Institution,Failed,Failed (high probability due to duration)
Quantum Optimization,2019,113796.76,17 months,4,78.4,Institution,Failed,Failed (high probability due to duration)
Horizon Initiative,2015,826372.3,6 months,17,17.3,Town,Failed,Failed (high probability due to duration)
